Denver Broncos	DST	DEN	16	83	51	122	14	13	1	5	1	296	10.9	174
Kansas City Chiefs	DST	KC	16	80	47	85	22	7	1	6	0	287	10.9	174
Arizona Cardinals	DST	ARI	16	91	36	106	19	14	2	6	1	313	10.5	168
Carolina Panthers	DST	CAR	16	86	44	107	24	15	0	4	0	308	10.4	167
Seattle Seahawks	DST	SEA	16	71	37	102	14	9	0	3	2	277	10.1	162
Houston Texans	DST	HOU	16	82	45	106	14	11	0	3	0	313	9.3	149
Pittsburgh Steelers	DST	PIT	16	86	48	90	17	13	0	2	1	319	9.1	145
Minnesota Vikings	DST	MIN	16	76	43	110	13	9	0	3	3	302	8.7	139
Los Angeles Rams	DST	LA	16	96	41	115	13	13	1	3	1	330	8.6	138
Cincinnati Bengals	DST	CIN	16	71	42	104	21	7	0	1	0	279	8.5	136
New England Patriots	DST	NE	16	73	49	90	12	9	1	2	0	315	8.2	131
Philadelphia Eagles	DST	PHI	16	77	37	80	15	11	1	4	3	430	8.1	130
Washington Redskins	DST	WAS	16	62	38	81	11	16	1	2	3	379	8	128
Indianapolis Colts	DST	IND	16	77	35	86	17	8	1	5	0	408	7.6	121
Green Bay Packers	DST	GB	16	85	43	95	16	6	0	2	0	323	7.4	119
New York Jets	DST	NYJ	16	62	39	113	18	12	0	0	0	314	7.2	116
New York Giants	DST	NYG	16	59	23	81	15	13	1	4	2	442	6.9	111
Tampa Bay Buccaneers	DST	TB	16	79	38	85	11	12	0	3	0	417	6.4	102
Oakland Raiders	DST	OAK	16	84	38	76	14	11	2	1	0	399	6.3	101
Buffalo Bills	DST	BUF	16	52	21	75	17	8	1	3	0	359	6.1	98
Detroit Lions	DST	DET	16	97	42	99	9	9	2	2	0	400	6.1	97
Miami Dolphins	DST	MIA	16	93	31	87	13	3	0	3	1	389	5.9	94
Baltimore Ravens	DST	BAL	16	83	37	92	6	8	0	2	2	401	5.8	93
Jacksonville Jaguars	DST	JAX	16	84	36	73	9	9	0	3	1	448	5.8	93
Atlanta Falcons	DST	ATL	16	51	19	72	15	8	0	3	0	345	5.8	92
Tennessee Titans	DST	TEN	16	65	39	67	11	8	0	2	0	423	5.4	87
Cleveland Browns	DST	CLE	16	63	29	66	11	10	0	2	1	432	5.2	84
San Diego Chargers	DST	SD	16	76	32	71	11	9	0	1	0	398	5.2	83
Dallas Cowboys	DST	DAL	16	78	31	70	8	3	1	1	1	374	4.8	77
New Orleans Saints	DST	NO	16	55	31	64	9	13	0	1	2	476	4.8	76
Chicago Bears	DST	CHI	16	58	35	92	8	9	0	0	0	397	4.7	75
San Francisco 49ers	DST	SF	16	64	28	77	9	3	0	1	0	387	4	64
